Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Basename
Pac5,A03,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R01C01
Pac8,B03,SMET0088,SV,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R02C01
Pac4,C03,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R03C01
Pac2,D03,SMET0088,C,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R04C01
Pac20,E03,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R05C01
Pac17,F03,SMET0088,SV,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R06C01
Pac49,G03,SMET0088,C,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R07C01
Pac42,H03,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140017/203922140017_R08C01
Pac7,A04,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140020/203922140020_R01C01
Pac30,B04,SMET0088,SV,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140020/203922140020_R02C01
Pac39,C04,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140020/203922140020_R03C01
Pac37,D04,SMET0088,C,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140020/203922140020_R04C01
Pac23,E04,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140020/203922140020_R05C01
Pac35,F04,SMET0088,SV,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140020/203922140020_R06C01
Pac54,G04,SMET0088,C,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/203922140020/203922140020_R07C01
Pac19,A01,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R01C01
Pac32,B01,SMET0088,SV,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R02C01
Pac40,C01,SMET0088,SV,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R03C01
Pac47,D01,SMET0088,C,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R04C01
Pac14,E01,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R05C01
Pac25,F01,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R06C01
Pac55,G01,SMET0088,C,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R07C01
Pac53,H01,SMET0088,SN,NA,2.04E+11,C:/Users/User/Documents/TFM/metilacion/datos_crudos/204081740067/204081740067_R08C01
